episode,average_score,best_score
1,-28.575102111952138,-28.575102111952138
2,-16.86139671834978,-16.86139671834978
3,-23.163264970533334,-16.86139671834978
4,-16.377824006881678,-16.377824006881678
5,-14.509433873791014,-14.509433873791014
6,-14.988940523779226,-14.509433873791014
7,-28.199353804401774,-14.509433873791014
8,-28.192663676504182,-14.509433873791014
9,-24.729457221679514,-14.509433873791014
10,-23.10954654897915,-14.509433873791014
11,-21.32029915540197,-14.509433873791014
12,-27.16669562035518,-14.509433873791014
13,-28.43653518733101,-14.509433873791014
14,-27.015495419616496,-14.509433873791014
15,-25.858950993316125,-14.509433873791014
16,-24.883679371212413,-14.509433873791014
17,-24.821845510590027,-14.509433873791014
18,-26.428519256812162,-14.509433873791014
19,-27.364534073650756,-14.509433873791014
20,-26.957519971314724,-14.509433873791014
21,-38.21508746252594,-14.509433873791014
22,-43.1894224304266,-14.509433873791014
23,-41.256846590937315,-14.509433873791014
24,-38.90702633218781,-14.509433873791014
25,-37.12528542815815,-14.509433873791014
26,-45.54055580548825,-14.509433873791014
27,-44.046102204315105,-14.509433873791014
28,-43.610970995568096,-14.509433873791014
29,-42.15151740049267,-14.509433873791014
30,-41.00745380150808,-14.509433873791014
31,-40.16854403182096,-14.509433873791014
32,-46.186723547930484,-14.509433873791014
33,-44.58191385287941,-14.509433873791014
34,-43.2106174085495,-14.509433873791014
35,-43.15957747295427,-14.509433873791014
36,-42.34363930329798,-14.509433873791014
37,-41.49399311186397,-14.509433873791014
38,-40.554718087559536,-14.509433873791014
39,-39.793343221804925,-14.509433873791014
40,-39.51854170584467,-14.509433873791014
41,-38.675100634212704,-14.509433873791014
42,-38.22142603527815,-14.509433873791014
43,-37.29655878467426,-14.509433873791014
44,-36.82208131601002,-14.509433873791014
45,-36.01453489084674,-14.509433873791014
46,-35.48206645567493,-14.509433873791014
47,-38.820061743827566,-14.509433873791014
48,-37.74549791986018,-14.509433873791014
49,-36.71813494312256,-14.509433873791014
50,-35.99636289459851,-14.509433873791014
51,-35.26046269884856,-14.509433873791014
52,-34.332421705199366,-14.509433873791014
53,-38.1997167062236,-14.509433873791014
54,-37.96969688035961,-14.509433873791014
55,-37.44337625486362,-14.509433873791014
56,-37.43482199331549,-14.509433873791014
57,-36.773931627544265,-14.509433873791014
58,-36.191143597506105,-14.509433873791014
59,-35.406036209532175,-14.509433873791014
60,-34.81470510641808,-14.509433873791014
61,-34.76910346430626,-14.509433873791014
62,-34.659047199475914,-14.509433873791014
63,-34.17072873444167,-14.509433873791014
64,-33.89397677561368,-14.509433873791014
65,-33.36275367037762,-14.509433873791014
66,-34.02940630260665,-14.509433873791014
67,-34.102277382708515,-14.509433873791014
68,-33.6576048691113,-14.509433873791014
69,-33.09138478433394,-14.509433873791014
70,-32.597531780807884,-14.509433873791014
71,-32.76995133233617,-14.509433873791014
72,-32.344004116352004,-14.509433873791014
73,-35.13372982580911,-14.509433873791014
74,-34.55723872783104,-14.509433873791014
75,-36.69638638886743,-14.509433873791014
76,-36.23054530327827,-14.509433873791014
77,-36.55559606361767,-14.509433873791014
78,-36.328850630164105,-14.509433873791014
79,-35.94391294843349,-14.509433873791014
80,-37.9684956058755,-14.509433873791014
81,-39.90734218463567,-14.509433873791014
82,-39.74644119469648,-14.509433873791014
83,-39.433741552757446,-14.509433873791014
84,-39.04310056183819,-14.509433873791014
85,-38.55403929541682,-14.509433873791014
86,-38.21186829288567,-14.509433873791014
87,-38.37083215631927,-14.509433873791014
88,-38.11223432932732,-14.509433873791014
89,-37.352143650051936,-14.509433873791014
90,-37.31105760701599,-14.509433873791014
91,-38.88956970240238,-14.509433873791014
92,-38.46290871171762,-14.509433873791014
93,-38.331731464274014,-14.509433873791014
94,-37.679998839529354,-14.509433873791014
95,-37.75781478654964,-14.509433873791014
96,-38.70360027784447,-14.509433873791014
97,-38.62964146734912,-14.509433873791014
98,-38.30677290755087,-14.509433873791014
99,-37.77157482079937,-14.509433873791014
100,-37.40001214986467,-14.509433873791014
101,-37.40807156493164,-14.509433873791014
102,-37.78612264189222,-14.509433873791014
103,-37.627858043899806,-14.509433873791014
104,-37.81244071959956,-14.509433873791014
105,-37.71404995616051,-14.509433873791014
106,-38.53003268914926,-14.509433873791014
107,-37.682868195564176,-14.509433873791014
108,-37.34300440855275,-14.509433873791014
109,-37.054406129000625,-14.509433873791014
110,-36.9030241484982,-14.509433873791014
111,-36.89652058095153,-14.509433873791014
112,-36.113085106914426,-14.509433873791014
113,-35.86795988403519,-14.509433873791014
114,-35.81369323186523,-14.509433873791014
115,-35.91390100923165,-14.509433873791014
116,-36.12150276784614,-14.509433873791014
117,-36.02439869250464,-14.509433873791014
118,-35.48157794125144,-14.509433873791014
119,-34.81323826468454,-14.509433873791014
120,-34.71283649256742,-14.509433873791014
121,-32.130675344236096,-14.509433873791014
122,-30.67923642800451,-14.509433873791014
123,-30.89682463831353,-14.509433873791014
124,-32.6964392401244,-14.509433873791014
125,-32.93792650172158,-14.509433873791014
126,-30.442783827451514,-14.509433873791014
127,-30.956201166414882,-14.509433873791014
128,-30.648976988285508,-14.509433873791014
