episode,average_score,best_score
1,-11.434961016168815,-11.434961016168815
2,-44.08626538030208,-11.434961016168815
3,-53.6632235967409,-11.434961016168815
4,-59.71784952275391,-11.434961016168815
5,-62.94779438055552,-11.434961016168815
6,-65.50663401506135,-11.434961016168815
7,-56.888902554211406,-11.434961016168815
8,-50.07483143418125,-11.434961016168815
9,-53.43550590253253,-11.434961016168815
10,-48.76471007277181,-11.434961016168815
11,-51.577534796932575,-11.434961016168815
12,-48.93672077369573,-11.434961016168815
13,-45.603590792304985,-11.434961016168815
14,-47.931623207957635,-11.434961016168815
15,-45.58911260426829,-11.434961016168815
16,-43.169263095065666,-11.434961016168815
17,-40.842687579617184,-11.434961016168815
18,-42.69919452260092,-11.434961016168815
19,-40.55511322217535,-11.434961016168815
20,-38.74325823122445,-11.434961016168815
21,-38.06815282317185,-11.434961016168815
22,-36.372599875872154,-11.434961016168815
23,-34.83632115524701,-11.434961016168815
24,-33.625181585040345,-11.434961016168815
25,-32.43607392071219,-11.434961016168815
26,-31.714782718948626,-11.434961016168815
27,-30.529505653732436,-11.434961016168815
28,-29.638258604191698,-11.434961016168815
29,-30.93424111635346,-11.434961016168815
30,-30.42342960091648,-11.434961016168815
31,-31.539292991664205,-11.434961016168815
32,-31.04497603586362,-11.434961016168815
33,-30.096429271393117,-11.434961016168815
34,-30.995410943733905,-11.434961016168815
35,-30.205432603039604,-11.434961016168815
36,-29.759978007480047,-11.434961016168815
37,-29.517525378609403,-11.434961016168815
38,-29.084907129842243,-11.434961016168815
39,-28.36147105013045,-11.434961016168815
40,-27.628725053989307,-11.434961016168815
41,-27.024380301164655,-11.434961016168815
42,-26.944713052514224,-11.434961016168815
43,-26.78211797730833,-11.434961016168815
44,-26.15469443376496,-11.434961016168815
45,-25.5756290420653,-11.434961016168815
46,-26.47032209075112,-11.434961016168815
47,-25.921214872146074,-11.434961016168815
48,-25.40546832229423,-11.434961016168815
49,-24.93651068953862,-11.434961016168815
50,-24.736578389166667,-11.434961016168815
51,-25.49659511697441,-11.434961016168815
52,-26.117331057193688,-11.434961016168815
53,-25.612047710850508,-11.434961016168815
54,-25.47553716050325,-11.434961016168815
55,-25.059850685590064,-11.434961016168815
56,-24.674179495275574,-11.434961016168815
57,-24.259349698472644,-11.434961016168815
58,-23.845157979169333,-11.434961016168815
59,-24.472793787714092,-11.434961016168815
60,-24.08718686176706,-11.434961016168815
61,-23.668898093893336,-11.434961016168815
62,-23.30352384729831,-11.434961016168815
63,-23.204161227000093,-11.434961016168815
64,-23.12791970049048,-11.434961016168815
65,-23.02520029462511,-11.434961016168815
66,-23.633385454115064,-11.434961016168815
67,-24.14159690927718,-11.434961016168815
68,-23.818347225805837,-11.434961016168815
69,-24.346573778640227,-11.434961016168815
70,-24.00120809196749,-11.434961016168815
71,-24.445762662379934,-11.434961016168815
72,-24.360119214426405,-11.434961016168815
73,-24.839061377559364,-11.434961016168815
74,-24.495221065874887,-11.434961016168815
75,-24.32139206969073,-11.434961016168815
76,-24.010096136456827,-11.434961016168815
77,-24.41649741502756,-11.434961016168815
78,-24.773854015782664,-11.434961016168815
79,-24.48395834532935,-11.434961016168815
80,-24.905873199845903,-11.434961016168815
81,-25.33100352359717,-11.434961016168815
82,-25.044564927676426,-11.434961016168815
83,-25.325204126521307,-11.434961016168815
84,-25.022931273784945,-11.434961016168815
85,-25.369503790617454,-11.434961016168815
86,-25.69174941698436,-11.434961016168815
87,-25.431579917912973,-11.434961016168815
88,-25.150935029853198,-11.434961016168815
89,-25.530492280879162,-11.434961016168815
90,-25.333642094897016,-11.434961016168815
91,-25.170223363075994,-11.434961016168815
92,-25.06802003680629,-11.434961016168815
93,-25.029971267006882,-11.434961016168815
94,-24.799643298607645,-11.434961016168815
95,-25.116939065310497,-11.434961016168815
96,-25.34174790189987,-11.434961016168815
