episode,average_score,best_score
1,-270.8722690235851,-270.8722690235851
2,-286.6354451612823,-270.8722690235851
3,-310.22136763796976,-270.8722690235851
4,-274.70315326636046,-270.8722690235851
5,-250.80082204469778,-250.80082204469778
6,-250.7216819686004,-250.7216819686004
7,-246.3526362008297,-246.3526362008297
8,-254.2236849693409,-246.3526362008297
9,-243.893940601593,-243.893940601593
10,-231.1506247333786,-231.1506247333786
11,-227.6474087872929,-227.6474087872929
12,-222.6253656520482,-222.6253656520482
13,-226.67864548751598,-222.6253656520482
14,-220.55562808968742,-220.55562808968742
15,-213.49711593937295,-213.49711593937295
16,-210.30351566619933,-210.30351566619933
17,-206.85609217499126,-206.85609217499126
18,-209.857455324163,-206.85609217499126
19,-205.10749138123705,-205.10749138123705
20,-199.31976919664535,-199.31976919664535
21,-201.1337315160233,-199.31976919664535
22,-199.66221409814742,-199.31976919664535
23,-196.19577898972656,-196.19577898972656
24,-191.3924461723951,-191.3924461723951
25,-187.2143376625922,-187.2143376625922
26,-184.76933353490665,-184.76933353490665
27,-182.87438011533982,-182.87438011533982
28,-179.9901371959326,-179.9901371959326
29,-179.0564536018292,-179.0564536018292
30,-174.60952827871992,-174.60952827871992
31,-173.28495782065198,-173.28495782065198
32,-170.61209096173351,-170.61209096173351
33,-166.36747244254016,-166.36747244254016
34,-161.80722772659294,-161.80722772659294
35,-157.35443136390725,-157.35443136390725
36,-155.20236131062447,-155.20236131062447
37,-153.6971396918655,-153.6971396918655
38,-150.98743649165658,-150.98743649165658
39,-149.57463305502324,-149.57463305502324
40,-146.63214475274097,-146.63214475274097
41,-142.97308682865548,-142.97308682865548
42,-143.2721322545555,-142.97308682865548
43,-141.67469952865963,-141.67469952865963
44,-139.99769459222122,-139.99769459222122
45,-138.20801167554853,-138.20801167554853
46,-137.46046081806023,-137.46046081806023
47,-134.52692789631882,-134.52692789631882
48,-131.06195469020696,-131.06195469020696
49,-129.02587339001232,-129.02587339001232
50,-126.63189999566815,-126.63189999566815
51,-126.26226600427188,-126.26226600427188
52,-124.90240382550716,-124.90240382550716
53,-125.37988515405415,-124.90240382550716
54,-124.62116782879677,-124.62116782879677
55,-123.16185768381497,-123.16185768381497
56,-121.55530225278874,-121.55530225278874
57,-119.92663152679793,-119.92663152679793
58,-119.95581072796945,-119.92663152679793
59,-119.95727813764564,-119.92663152679793
60,-117.49419778971429,-117.49419778971429
61,-116.19796837449756,-116.19796837449756
62,-116.44905762518789,-116.19796837449756
63,-117.14570134015247,-116.19796837449756
64,-116.24369095246982,-116.19796837449756
65,-114.58370419266727,-114.58370419266727
66,-111.71945470825247,-111.71945470825247
67,-110.68756044344039,-110.68756044344039
68,-111.87596121025103,-110.68756044344039
69,-110.4824766233708,-110.4824766233708
70,-109.18160810622922,-109.18160810622922
71,-107.51430730815137,-107.51430730815137
72,-105.93162179737122,-105.93162179737122
73,-103.95833881199766,-103.95833881199766
74,-102.17167610301041,-102.17167610301041
75,-100.75592402421724,-100.75592402421724
76,-99.32090784328919,-99.32090784328919
77,-98.60193129525784,-98.60193129525784
78,-96.88293310937551,-96.88293310937551
79,-94.33633074218076,-94.33633074218076
80,-93.8265201039716,-93.8265201039716
81,-92.25432764339008,-92.25432764339008
82,-91.4460914038903,-91.4460914038903
83,-89.58345226554202,-89.58345226554202
84,-88.6318457435939,-88.6318457435939
85,-87.05599553219048,-87.05599553219048
86,-86.78984469682854,-86.78984469682854
87,-85.80783953750287,-85.80783953750287
88,-83.74632770843624,-83.74632770843624
89,-82.50514803200231,-82.50514803200231
90,-80.91272719657185,-80.91272719657185
91,-80.25092033059646,-80.25092033059646
92,-78.59398385860133,-78.59398385860133
93,-77.4446931640773,-77.4446931640773
94,-76.76243469508711,-76.76243469508711
95,-75.35225881214747,-75.35225881214747
96,-73.87774483474863,-73.87774483474863
97,-72.44615687463569,-72.44615687463569
98,-71.3324892182793,-71.3324892182793
99,-69.90544765204245,-69.90544765204245
100,-68.52276434958907,-68.52276434958907
101,-65.01797479190125,-65.01797479190125
102,-60.944706460031185,-60.944706460031185
103,-56.532101766466475,-56.532101766466475
104,-54.19916775920801,-54.19916775920801
105,-51.85048282864014,-51.85048282864014
106,-48.756664802632585,-48.756664802632585
107,-46.08993798628992,-46.08993798628992
108,-41.86138555171514,-41.86138555171514
109,-39.085242656800354,-39.085242656800354
110,-36.84903896862663,-36.84903896862663
111,-33.856924637801406,-33.856924637801406
112,-31.40486057582543,-31.40486057582543
113,-27.56012111279723,-27.56012111279723
114,-24.794890804944394,-24.794890804944394
115,-22.936370517570772,-22.936370517570772
116,-20.776215372168117,-20.776215372168117
117,-18.019738773416346,-18.019738773416346
118,-14.732920605605672,-14.732920605605672
119,-12.580680025332923,-12.580680025332923
120,-10.676139037223255,-10.676139037223255
121,-7.132241395027225,-7.132241395027225
122,-4.2819428777442115,-4.2819428777442115
123,-1.6215492137766647,-1.6215492137766647
124,0.7853936479398033,0.7853936479398033
125,3.1937123075415017,3.1937123075415017
126,6.67379266571172,6.67379266571172
127,9.359104908347824,9.359104908347824
128,11.507057986738076,11.507057986738076
129,14.386283826280199,14.386283826280199
130,16.06642569951342,16.06642569951342
131,18.891584646866,18.891584646866
132,20.76094361855535,20.76094361855535
133,22.782306282319727,22.782306282319727
134,24.690998716543703,24.690998716543703
135,26.59766038602655,26.59766038602655
136,29.216394850877705,29.216394850877705
137,31.151230235246302,31.151230235246302
138,33.22323484674212,33.22323484674212
139,35.344187397999356,35.344187397999356
140,37.26860193172506,37.26860193172506
141,38.269703043119414,38.269703043119414
142,41.1959436795042,41.1959436795042
143,43.25879905962109,43.25879905962109
144,46.08922627356773,46.08922627356773
145,47.74674129402834,47.74674129402834
146,50.45265699327784,50.45265699327784
147,52.10937972633044,52.10937972633044
148,54.03021830548373,54.03021830548373
149,56.14155671395301,56.14155671395301
150,57.926790586404316,57.926790586404316
151,61.25486937978824,61.25486937978824
152,63.62176183716476,63.62176183716476
153,66.70215043200275,66.70215043200275
154,68.96860953639269,68.96860953639269
155,71.67132976773797,71.67132976773797
156,74.31170143251225,74.31170143251225
157,76.26110982359661,76.26110982359661
158,78.77618725717227,78.77618725717227
159,82.21438252537342,82.21438252537342
160,84.74675679155858,84.74675679155858
161,87.20752945588052,87.20752945588052
162,90.48798372599872,90.48798372599872
163,94.0567527927819,94.0567527927819
164,96.78820494553743,96.78820494553743
165,98.76165638895799,98.76165638895799
166,99.70211860029876,99.70211860029876
167,102.06955521433821,102.06955521433821
168,106.2785982962592,106.2785982962592
169,108.1337768042939,108.1337768042939
170,110.93895307348593,110.93895307348593
171,112.9088323345499,112.9088323345499
172,115.30930525933326,115.30930525933326
173,117.46007763379863,117.46007763379863
174,118.70973772517159,118.70973772517159
175,121.26783158102758,121.26783158102758
176,123.13367577085938,123.13367577085938
177,126.1409425319587,126.1409425319587
178,128.74717617010452,128.74717617010452
179,129.98729467749277,129.98729467749277
180,132.57255101747512,132.57255101747512
181,134.46905571114698,134.46905571114698
182,136.728019988095,136.728019988095
183,139.29496835628927,139.29496835628927
184,141.79490462563948,141.79490462563948
185,143.35942538969203,143.35942538969203
186,145.89820016974213,145.89820016974213
187,148.6866822911191,148.6866822911191
188,150.49546903151784,150.49546903151784
189,152.8658275914087,152.8658275914087
190,154.88716055031,154.88716055031
191,157.71236899869712,157.71236899869712
192,158.80795847523484,158.80795847523484
193,161.50303403105127,161.50303403105127
194,164.7988134777639,164.7988134777639
195,167.23261382014053,167.23261382014053
196,169.1937320666758,169.1937320666758
197,171.4685428085413,171.4685428085413
198,173.88776193036946,173.88776193036946
199,176.039556570969,176.039556570969
200,178.36644752219598,178.36644752219598
201,180.56674996696398,180.56674996696398
202,183.2180301252828,183.2180301252828
203,185.4408624239841,185.4408624239841
204,187.87520351865953,187.87520351865953
205,190.49015255192364,190.49015255192364
206,192.78332283116393,192.78332283116393
207,195.10487869051624,195.10487869051624
208,197.28247633037898,197.28247633037898
209,199.94128584047874,199.94128584047874
210,202.0517153486357,202.0517153486357
211,204.7131376531706,204.7131376531706
212,207.4462646617311,207.4462646617311
213,210.26445243236992,210.26445243236992
214,212.34883877266682,212.34883877266682
215,214.91099907960802,214.91099907960802
216,218.43930295613154,218.43930295613154
217,219.2430957303026,219.2430957303026
218,222.2440619660093,222.2440619660093
219,224.7052850721021,224.7052850721021
220,226.91126260959572,226.91126260959572
221,228.4079167710651,228.4079167710651
222,231.44486837477,231.44486837477
223,234.1703492375595,234.1703492375595
224,236.03128572479133,236.03128572479133
225,234.88146694180176,236.03128572479133
226,236.5754493092576,236.5754493092576
227,239.18492128383954,239.18492128383954
228,242.0295480804294,242.0295480804294
229,243.90298285102233,243.90298285102233
230,246.89486073343554,246.89486073343554
231,249.57225069033652,249.57225069033652
232,252.3966836771355,252.3966836771355
233,254.43269853943158,254.43269853943158
234,256.8345440059394,256.8345440059394
235,258.7980544938674,258.7980544938674
236,260.86161957687915,260.86161957687915
237,264.0142587375222,264.0142587375222
238,266.86578516870634,266.86578516870634
239,270.08111046588124,270.08111046588124
240,272.15165829769717,272.15165829769717
241,275.4429875706677,275.4429875706677
242,278.7610569268321,278.7610569268321
243,281.5983960851396,281.5983960851396
244,283.9318517926373,283.9318517926373
245,287.3676958427442,287.3676958427442
246,289.2721836437288,289.2721836437288
247,291.51557744281115,291.51557744281115
248,293.14140159024254,293.14140159024254
249,296.0452839430938,296.0452839430938
250,298.2045121788304,298.2045121788304
251,300.3090749330023,300.3090749330023
252,302.2879354736663,302.2879354736663
253,305.26224122712995,305.26224122712995
254,307.89480888279485,307.89480888279485
255,309.17629620414056,309.17629620414056
256,310.6377996478064,310.6377996478064
257,313.89612131999706,313.89612131999706
258,316.53309861759635,316.53309861759635
259,318.9785880187729,318.9785880187729
260,321.0194809719397,321.0194809719397
261,323.2403643405471,323.2403643405471
262,325.31217819404503,325.31217819404503
263,327.47271659454333,327.47271659454333
264,328.48516485955224,328.48516485955224
265,331.3453193616993,331.3453193616993
266,334.2675556428219,334.2675556428219
267,337.2028430841608,337.2028430841608
268,339.2814957024155,339.2814957024155
269,341.63111361047174,341.63111361047174
270,344.2034418069523,344.2034418069523
271,347.2148518238779,347.2148518238779
272,350.1675953811066,350.1675953811066
273,352.20559182459306,352.20559182459306
274,355.47308466859994,355.47308466859994
275,357.4324577139291,357.4324577139291
276,361.1110305848519,361.1110305848519
277,363.0113314523036,363.0113314523036
278,365.028377208014,365.028377208014
279,368.8815233312756,368.8815233312756
280,371.99009794584777,371.99009794584777
281,373.83332388238006,373.83332388238006
282,376.65114513568193,376.65114513568193
283,378.3832118878584,378.3832118878584
284,381.74013152269146,381.74013152269146
285,385.40768937357876,385.40768937357876
286,388.6943282156798,388.6943282156798
287,390.1524188804271,390.1524188804271
288,393.29468406155627,393.29468406155627
289,395.98176177700407,395.98176177700407
290,398.92154245847837,398.92154245847837
291,402.2334605576694,402.2334605576694
292,405.35478500764293,405.35478500764293
293,407.0635309099248,407.0635309099248
294,408.0274757256934,408.0274757256934
295,409.2587738876089,409.2587738876089
296,410.6679698171589,410.6679698171589
297,413.1998935901622,413.1998935901622
298,416.54859588013625,416.54859588013625
299,418.42749172483394,418.42749172483394
300,420.3233587495908,420.3233587495908
301,422.6546170485493,422.6546170485493
302,423.98102279005195,423.98102279005195
303,425.21138908531384,425.21138908531384
304,427.992533586628,427.992533586628
305,430.3785248981756,430.3785248981756
306,432.97575163506843,432.97575163506843
307,435.5357064216138,435.5357064216138
308,437.3811982353166,437.3811982353166
309,439.39638786612335,439.39638786612335
310,441.7818759383957,441.7818759383957
311,443.9784889879248,443.9784889879248
312,445.93767658177416,445.93767658177416
313,447.03459863605,447.03459863605
314,448.6399410507015,448.6399410507015
315,450.4144686755917,450.4144686755917
316,451.8667075527225,451.8667075527225
317,455.5519287915306,455.5519287915306
318,457.53070000925675,457.53070000925675
319,460.3673941929893,460.3673941929893
320,462.525596836384,462.525596836384
321,465.5489766276562,465.5489766276562
322,467.1743430720668,467.1743430720668
323,468.4421814092113,468.4421814092113
324,470.35906873591057,470.35906873591057
325,475.89163446797613,475.89163446797613
326,478.2630967490071,478.2630967490071
327,480.59047498691694,480.59047498691694
328,483.1746332056714,483.1746332056714
329,486.2450662794758,486.2450662794758
330,487.6619765930201,487.6619765930201
331,489.54223307124477,489.54223307124477
332,490.914690850109,490.914690850109
333,493.0767223940093,493.0767223940093
334,494.0153667604347,494.0153667604347
335,496.5769785437634,496.5769785437634
336,498.5151330851944,498.5151330851944
337,500.0233945328749,500.0233945328749
338,501.2698673558841,501.2698673558841
339,503.2938773242201,503.2938773242201
340,504.9921705059724,504.9921705059724
341,506.02598109619527,506.02598109619527
342,507.8665597639203,507.8665597639203
343,501.5526278129081,507.8665597639203
344,502.78099312527723,507.8665597639203
345,505.14039660939835,507.8665597639203
346,508.0715239051219,508.0715239051219
347,510.38165408570586,510.38165408570586
348,512.859855274424,512.859855274424
349,514.6832201596881,514.6832201596881
350,516.1930488162158,516.1930488162158
351,517.3242784112961,517.3242784112961
352,519.3514763679628,519.3514763679628
353,520.6687664068359,520.6687664068359
354,523.42848556314,523.42848556314
355,526.5136242332583,526.5136242332583
356,529.8809637122738,529.8809637122738
357,530.5774063133708,530.5774063133708
358,533.8140295915724,533.8140295915724
359,534.9777227528834,534.9777227528834
360,535.8685002450293,535.8685002450293
361,537.4634658488934,537.4634658488934
362,539.5178606469267,539.5178606469267
363,542.1370476652806,542.1370476652806
364,546.3107069743971,546.3107069743971
365,548.057542255609,548.057542255609
366,543.5585425602751,548.057542255609
367,545.3385220563106,548.057542255609
368,547.2124531522381,548.057542255609
369,549.6231524634877,549.6231524634877
370,550.8949092706903,550.8949092706903
371,552.3422637094417,552.3422637094417
372,551.3363200683799,552.3422637094417
373,553.058299740806,553.058299740806
374,554.9390420322363,554.9390420322363
375,556.482121263221,556.482121263221
376,557.1301871595068,557.1301871595068
377,558.1926151365547,558.1926151365547
378,559.6336121697741,559.6336121697741
379,560.1062876431787,560.1062876431787
380,561.3723499088936,561.3723499088936
381,563.571997568914,563.571997568914
382,564.9946732078774,564.9946732078774
383,566.9015829381806,566.9015829381806
384,568.0942247100526,568.0942247100526
385,568.6988208957883,568.6988208957883
386,569.8085836199378,569.8085836199378
387,572.4141350148016,572.4141350148016
388,573.3736353975625,573.3736353975625
389,574.6480504539837,574.6480504539837
390,575.1506133101948,575.1506133101948
391,575.8612073236336,575.8612073236336
392,577.6747821757424,577.6747821757424
393,580.0329694651748,580.0329694651748
394,583.2905086653847,583.2905086653847
395,586.7977178264133,586.7977178264133
396,589.5997807078874,589.5997807078874
397,590.8617200089923,590.8617200089923
398,591.9161690580532,591.9161690580532
399,594.6879260186673,594.6879260186673
400,596.5801884799035,596.5801884799035
401,598.1361897467629,598.1361897467629
402,600.1523487634936,600.1523487634936
403,601.1353350651602,601.1353350651602
404,601.5486558356628,601.5486558356628
405,602.4703459090019,602.4703459090019
406,604.1009366997057,604.1009366997057
407,605.9682062604537,605.9682062604537
408,607.7852675207008,607.7852675207008
409,608.8996798066572,608.8996798066572
410,610.2485883909261,610.2485883909261
411,612.1059972049949,612.1059972049949
412,613.7731910946163,613.7731910946163
413,615.1892392718236,615.1892392718236
