episode,average_score,best_score
1,4.0,4.0
2,7.0,7.0
3,6.0,7.0
4,7.0,7.0
5,6.6,7.0
6,6.333333333333333,7.0
7,6.857142857142857,7.0
8,6.75,7.0
9,6.777777777777778,7.0
10,6.7,7.0
11,6.454545454545454,7.0
12,6.333333333333333,7.0
13,6.615384615384615,7.0
14,6.5,7.0
15,6.533333333333333,7.0
16,6.5625,7.0
17,6.588235294117647,7.0
18,6.611111111111111,7.0
19,6.578947368421052,7.0
20,6.45,7.0
21,6.523809523809524,7.0
22,6.590909090909091,7.0
23,6.739130434782608,7.0
24,6.75,7.0
25,6.76,7.0
26,6.730769230769231,7.0
27,6.666666666666667,7.0
28,6.607142857142857,7.0
29,6.586206896551724,7.0
30,6.7,7.0
31,6.612903225806452,7.0
32,6.5625,7.0
33,6.545454545454546,7.0
34,6.617647058823529,7.0
35,6.628571428571429,7.0
36,6.583333333333333,7.0
37,6.5675675675675675,7.0
38,6.526315789473684,7.0
39,6.487179487179487,7.0
40,6.5,7.0
41,6.463414634146342,7.0
42,6.476190476190476,7.0
43,6.511627906976744,7.0
44,6.4772727272727275,7.0
45,6.533333333333333,7.0
46,6.5,7.0
47,6.468085106382978,7.0
48,6.4375,7.0
49,6.408163265306122,7.0
50,6.44,7.0
51,6.411764705882353,7.0
52,6.423076923076923,7.0
53,6.377358490566038,7.0
54,6.388888888888889,7.0
55,6.363636363636363,7.0
56,6.339285714285714,7.0
57,6.315789473684211,7.0
58,6.310344827586207,7.0
59,6.3559322033898304,7.0
60,6.383333333333334,7.0
61,6.39344262295082,7.0
62,6.387096774193548,7.0
63,6.396825396825397,7.0
64,6.40625,7.0
65,6.384615384615385,7.0
66,6.409090909090909,7.0
67,6.402985074626866,7.0
68,6.367647058823529,7.0
69,6.333333333333333,7.0
70,6.3,7.0
71,6.295774647887324,7.0
72,6.277777777777778,7.0
73,6.287671232876712,7.0
74,6.3108108108108105,7.0
75,6.293333333333333,7.0
76,6.302631578947368,7.0
77,6.298701298701299,7.0
78,6.294871794871795,7.0
79,6.341772151898734,7.0
80,6.3625,7.0
81,6.37037037037037,7.0
82,6.365853658536586,7.0
83,6.349397590361446,7.0
84,6.321428571428571,7.0
85,6.352941176470588,7.0
86,6.383720930232558,7.0
87,6.436781609195402,7.0
88,6.443181818181818,7.0
89,6.449438202247191,7.0
90,6.433333333333334,7.0
91,6.417582417582418,7.0
92,6.434782608695652,7.0
93,6.419354838709677,7.0
94,6.3936170212765955,7.0
95,6.368421052631579,7.0
96,6.364583333333333,7.0
97,6.34020618556701,7.0
98,6.357142857142857,7.0
99,6.363636363636363,7.0
100,6.36,7.0
101,6.41,7.0
102,6.36,7.0
103,6.36,7.0
104,6.32,7.0
105,6.4,7.0
106,6.43,7.0
107,6.4,7.0
108,6.4,7.0
109,6.37,7.0
110,6.35,7.0
111,6.36,7.0
112,6.35,7.0
113,6.34,7.0
114,6.36,7.0
115,6.34,7.0
116,6.32,7.0
117,6.31,7.0
118,6.32,7.0
119,6.34,7.0
120,6.34,7.0
121,6.3,7.0
122,6.28,7.0
123,6.26,7.0
124,6.28,7.0
125,6.29,7.0
126,6.32,7.0
127,6.31,7.0
128,6.31,7.0
129,6.29,7.0
130,6.27,7.0
