episode,average_score,best_score
1,4.0,4.0
2,3.5,4.0
3,4.333333333333333,4.333333333333333
4,5.0,5.0
5,5.2,5.2
6,5.0,5.2
7,5.0,5.2
8,5.125,5.2
9,5.0,5.2
10,5.1,5.2
11,5.0,5.2
12,5.666666666666667,5.666666666666667
13,5.615384615384615,5.666666666666667
14,6.0,6.0
15,6.066666666666666,6.066666666666666
16,6.5,6.5
17,6.352941176470588,6.5
18,6.388888888888889,6.5
19,6.473684210526316,6.5
20,6.8,6.8
21,6.857142857142857,6.857142857142857
22,6.681818181818182,6.857142857142857
23,6.608695652173913,6.857142857142857
24,6.541666666666667,6.857142857142857
25,6.68,6.857142857142857
26,6.576923076923077,6.857142857142857
27,6.555555555555555,6.857142857142857
28,6.5,6.857142857142857
29,6.448275862068965,6.857142857142857
30,6.533333333333333,6.857142857142857
31,6.580645161290323,6.857142857142857
32,6.78125,6.857142857142857
33,6.666666666666667,6.857142857142857
34,6.764705882352941,6.857142857142857
35,6.742857142857143,6.857142857142857
36,6.777777777777778,6.857142857142857
37,6.675675675675675,6.857142857142857
38,6.815789473684211,6.857142857142857
39,6.743589743589744,6.857142857142857
40,6.675,6.857142857142857
41,6.682926829268292,6.857142857142857
42,6.666666666666667,6.857142857142857
43,6.627906976744186,6.857142857142857
44,6.568181818181818,6.857142857142857
45,6.533333333333333,6.857142857142857
46,6.5,6.857142857142857
47,6.51063829787234,6.857142857142857
48,6.479166666666667,6.857142857142857
49,6.428571428571429,6.857142857142857
50,6.36,6.857142857142857
51,6.352941176470588,6.857142857142857
52,6.326923076923077,6.857142857142857
53,6.30188679245283,6.857142857142857
54,6.2407407407407405,6.857142857142857
55,6.254545454545455,6.857142857142857
56,6.196428571428571,6.857142857142857
57,6.157894736842105,6.857142857142857
58,6.293103448275862,6.857142857142857
59,6.237288135593221,6.857142857142857
60,6.25,6.857142857142857
61,6.245901639344262,6.857142857142857
62,6.193548387096774,6.857142857142857
63,6.174603174603175,6.857142857142857
64,6.15625,6.857142857142857
65,6.184615384615385,6.857142857142857
66,6.151515151515151,6.857142857142857
67,6.1940298507462686,6.857142857142857
68,6.279411764705882,6.857142857142857
69,6.333333333333333,6.857142857142857
70,6.3,6.857142857142857
71,6.323943661971831,6.857142857142857
72,6.319444444444445,6.857142857142857
73,6.273972602739726,6.857142857142857
74,6.243243243243243,6.857142857142857
75,6.333333333333333,6.857142857142857
76,6.2894736842105265,6.857142857142857
77,6.324675324675325,6.857142857142857
78,6.294871794871795,6.857142857142857
79,6.30379746835443,6.857142857142857
80,6.275,6.857142857142857
81,6.296296296296297,6.857142857142857
82,6.329268292682927,6.857142857142857
83,6.301204819277109,6.857142857142857
84,6.309523809523809,6.857142857142857
85,6.352941176470588,6.857142857142857
86,6.3604651162790695,6.857142857142857
87,6.333333333333333,6.857142857142857
88,6.306818181818182,6.857142857142857
89,6.292134831460674,6.857142857142857
90,6.322222222222222,6.857142857142857
91,6.3076923076923075,6.857142857142857
92,6.271739130434782,6.857142857142857
93,6.32258064516129,6.857142857142857
94,6.287234042553192,6.857142857142857
95,6.294736842105263,6.857142857142857
96,6.322916666666667,6.857142857142857
97,6.298969072164948,6.857142857142857
98,6.285714285714286,6.857142857142857
99,6.353535353535354,6.857142857142857
100,6.33,6.857142857142857
101,6.41,6.857142857142857
102,6.5,6.857142857142857
103,6.47,6.857142857142857
104,6.48,6.857142857142857
105,6.45,6.857142857142857
106,6.45,6.857142857142857
107,6.49,6.857142857142857
108,6.46,6.857142857142857
109,6.46,6.857142857142857
110,6.43,6.857142857142857
111,6.48,6.857142857142857
112,6.45,6.857142857142857
113,6.44,6.857142857142857
114,6.4,6.857142857142857
115,6.37,6.857142857142857
116,6.27,6.857142857142857
117,6.35,6.857142857142857
118,6.37,6.857142857142857
119,6.35,6.857142857142857
120,6.28,6.857142857142857
121,6.23,6.857142857142857
122,6.3,6.857142857142857
123,6.31,6.857142857142857
124,6.34,6.857142857142857
125,6.34,6.857142857142857
126,6.35,6.857142857142857
127,6.32,6.857142857142857
128,6.3,6.857142857142857
129,6.3,6.857142857142857
130,6.3,6.857142857142857
131,6.27,6.857142857142857
132,6.2,6.857142857142857
133,6.21,6.857142857142857
134,6.19,6.857142857142857
135,6.18,6.857142857142857
136,6.21,6.857142857142857
137,6.29,6.857142857142857
138,6.22,6.857142857142857
139,6.25,6.857142857142857
140,6.26,6.857142857142857
141,6.32,6.857142857142857
142,6.3,6.857142857142857
143,6.29,6.857142857142857
144,6.39,6.857142857142857
145,6.39,6.857142857142857
146,6.45,6.857142857142857
147,6.51,6.857142857142857
148,6.49,6.857142857142857
149,6.52,6.857142857142857
150,6.6,6.857142857142857
151,6.6,6.857142857142857
152,6.63,6.857142857142857
153,6.62,6.857142857142857
154,6.62,6.857142857142857
155,6.63,6.857142857142857
156,6.65,6.857142857142857
157,6.65,6.857142857142857
158,6.54,6.857142857142857
159,6.55,6.857142857142857
160,6.58,6.857142857142857
161,6.59,6.857142857142857
162,6.6,6.857142857142857
163,6.6,6.857142857142857
164,6.61,6.857142857142857
165,6.56,6.857142857142857
166,6.56,6.857142857142857
167,6.53,6.857142857142857
168,6.46,6.857142857142857
169,6.4,6.857142857142857
170,6.39,6.857142857142857
171,6.34,6.857142857142857
172,6.34,6.857142857142857
173,6.34,6.857142857142857
174,6.36,6.857142857142857
175,6.28,6.857142857142857
176,6.32,6.857142857142857
177,6.28,6.857142857142857
178,6.34,6.857142857142857
179,6.32,6.857142857142857
180,6.34,6.857142857142857
181,6.31,6.857142857142857
182,6.36,6.857142857142857
183,6.36,6.857142857142857
184,6.33,6.857142857142857
185,6.33,6.857142857142857
186,6.32,6.857142857142857
187,6.34,6.857142857142857
188,6.35,6.857142857142857
189,6.38,6.857142857142857
190,6.32,6.857142857142857
191,6.34,6.857142857142857
192,6.44,6.857142857142857
193,6.38,6.857142857142857
194,6.39,6.857142857142857
195,6.39,6.857142857142857
196,6.34,6.857142857142857
197,6.37,6.857142857142857
198,6.38,6.857142857142857
199,6.29,6.857142857142857
200,6.28,6.857142857142857
201,6.27,6.857142857142857
202,6.2,6.857142857142857
203,6.2,6.857142857142857
204,6.17,6.857142857142857
205,6.2,6.857142857142857
206,6.2,6.857142857142857
207,6.15,6.857142857142857
208,6.16,6.857142857142857
209,6.19,6.857142857142857
210,6.19,6.857142857142857
211,6.13,6.857142857142857
212,6.08,6.857142857142857
213,6.12,6.857142857142857
214,6.11,6.857142857142857
215,6.14,6.857142857142857
216,6.17,6.857142857142857
217,6.08,6.857142857142857
218,6.03,6.857142857142857
219,6.01,6.857142857142857
220,6.04,6.857142857142857
221,6.05,6.857142857142857
222,6.02,6.857142857142857
223,6.0,6.857142857142857
224,5.96,6.857142857142857
225,5.9,6.857142857142857
226,5.88,6.857142857142857
227,5.92,6.857142857142857
228,5.92,6.857142857142857
229,5.9,6.857142857142857
230,5.93,6.857142857142857
231,5.92,6.857142857142857
232,5.9,6.857142857142857
233,5.97,6.857142857142857
234,5.94,6.857142857142857
235,5.94,6.857142857142857
236,5.91,6.857142857142857
237,5.87,6.857142857142857
238,5.96,6.857142857142857
239,5.97,6.857142857142857
240,5.95,6.857142857142857
241,5.88,6.857142857142857
242,5.87,6.857142857142857
243,5.9,6.857142857142857
244,5.81,6.857142857142857
245,5.82,6.857142857142857
246,5.76,6.857142857142857
247,5.67,6.857142857142857
248,5.67,6.857142857142857
249,5.67,6.857142857142857
250,5.61,6.857142857142857
251,5.58,6.857142857142857
252,5.53,6.857142857142857
253,5.65,6.857142857142857
254,5.66,6.857142857142857
255,5.66,6.857142857142857
256,5.68,6.857142857142857
257,5.68,6.857142857142857
258,5.7,6.857142857142857
259,5.78,6.857142857142857
260,5.72,6.857142857142857
261,5.68,6.857142857142857
262,5.69,6.857142857142857
263,5.75,6.857142857142857
264,5.77,6.857142857142857
265,5.78,6.857142857142857
266,5.77,6.857142857142857
267,5.75,6.857142857142857
268,5.8,6.857142857142857
269,5.84,6.857142857142857
270,5.84,6.857142857142857
271,6.02,6.857142857142857
272,6.01,6.857142857142857
273,6.04,6.857142857142857
274,6.01,6.857142857142857
275,6.02,6.857142857142857
276,5.98,6.857142857142857
277,5.97,6.857142857142857
278,5.92,6.857142857142857
279,5.94,6.857142857142857
280,6.01,6.857142857142857
281,6.0,6.857142857142857
282,5.9,6.857142857142857
283,5.91,6.857142857142857
284,5.97,6.857142857142857
285,5.91,6.857142857142857
286,5.88,6.857142857142857
287,5.89,6.857142857142857
288,5.87,6.857142857142857
289,5.82,6.857142857142857
290,5.82,6.857142857142857
291,5.8,6.857142857142857
292,5.83,6.857142857142857
293,5.88,6.857142857142857
294,5.92,6.857142857142857
295,5.9,6.857142857142857
296,5.92,6.857142857142857
297,5.96,6.857142857142857
298,5.94,6.857142857142857
299,6.01,6.857142857142857
