episode,average_score,best_score
1,-13.344500327016746,-13.344500327016746
2,-48.999256005319474,-13.344500327016746
3,-48.67238637169468,-13.344500327016746
4,-39.92596259118993,-13.344500327016746
5,-33.0594031727283,-13.344500327016746
6,-40.9136692783172,-13.344500327016746
7,-49.26093980022201,-13.344500327016746
8,-52.41824604160784,-13.344500327016746
9,-55.869858954406155,-13.344500327016746
10,-51.278885443885066,-13.344500327016746
11,-51.207264137031785,-13.344500327016746
12,-47.01385312419731,-13.344500327016746
13,-43.40409982651553,-13.344500327016746
14,-46.07552178157923,-13.344500327016746
15,-46.44305624052428,-13.344500327016746
16,-48.243424069656285,-13.344500327016746
17,-48.23850222718108,-13.344500327016746
18,-50.25038046647481,-13.344500327016746
19,-48.784508833697295,-13.344500327016746
20,-50.498898280613425,-13.344500327016746
21,-50.31336561778721,-13.344500327016746
22,-49.361931052219006,-13.344500327016746
23,-50.910718404017516,-13.344500327016746
24,-51.77715608905373,-13.344500327016746
25,-50.81709224024321,-13.344500327016746
26,-50.80372210624047,-13.344500327016746
27,-51.97863660187226,-13.344500327016746
28,-52.666700482078475,-13.344500327016746
29,-52.3807402975653,-13.344500327016746
30,-52.40324624109826,-13.344500327016746
31,-51.01832733372425,-13.344500327016746
32,-50.4026297958477,-13.344500327016746
33,-50.347026459678,-13.344500327016746
34,-48.46576264314372,-13.344500327016746
35,-48.689098352141606,-13.344500327016746
36,-47.053943190760286,-13.344500327016746
37,-45.60989527319423,-13.344500327016746
38,-46.1147279619672,-13.344500327016746
39,-46.32456609814612,-13.344500327016746
40,-47.03188912930398,-13.344500327016746
41,-46.99334333425785,-13.344500327016746
42,-47.945841303445484,-13.344500327016746
43,-47.89513690239441,-13.344500327016746
44,-48.20720242513469,-13.344500327016746
45,-49.50532278264375,-13.344500327016746
46,-50.20824653241101,-13.344500327016746
47,-48.942693243848716,-13.344500327016746
48,-48.632852652984006,-13.344500327016746
49,-49.74168584646411,-13.344500327016746
50,-49.6359180675286,-13.344500327016746
51,-50.32856130455508,-13.344500327016746
52,-51.45710230171382,-13.344500327016746
53,-51.79683352519705,-13.344500327016746
54,-52.5066315855582,-13.344500327016746
55,-52.630052473784616,-13.344500327016746
56,-51.26682042578308,-13.344500327016746
57,-52.143232242554326,-13.344500327016746
58,-52.86219537295529,-13.344500327016746
59,-52.357701653570366,-13.344500327016746
60,-51.41724708141179,-13.344500327016746
61,-50.65596978901373,-13.344500327016746
62,-50.334402391347695,-13.344500327016746
63,-49.419668671035936,-13.344500327016746
64,-48.67846413650694,-13.344500327016746
65,-47.89947473962798,-13.344500327016746
66,-46.93147108840474,-13.344500327016746
67,-47.44031412673431,-13.344500327016746
68,-46.726883002957386,-13.344500327016746
69,-45.87150140588862,-13.344500327016746
70,-45.95783520970599,-13.344500327016746
71,-45.716563347519234,-13.344500327016746
72,-45.507597354352704,-13.344500327016746
73,-44.89127397609332,-13.344500327016746
74,-45.624172842807056,-13.344500327016746
75,-45.24651704996002,-13.344500327016746
76,-44.640936541156705,-13.344500327016746
77,-44.98412791392911,-13.344500327016746
