episode,average_score,best_score
1,-31.332216669600616,-31.332216669600616
2,-31.50543704127709,-31.332216669600616
3,-32.06293665394241,-31.332216669600616
4,-32.578082820992066,-31.332216669600616
5,-32.40212631088454,-31.332216669600616
6,-32.565451588849186,-31.332216669600616
7,-32.43769139661308,-31.332216669600616
8,-32.4238262491111,-31.332216669600616
9,-32.309560236746925,-31.332216669600616
10,-32.203279742788574,-31.332216669600616
11,-31.711732425285312,-31.332216669600616
12,-31.21369877475003,-31.21369877475003
13,-30.46286308611824,-30.46286308611824
14,-29.62728066644677,-29.62728066644677
15,-28.723565304455796,-28.723565304455796
16,-27.857611545201888,-27.857611545201888
17,-26.93486337122985,-26.93486337122985
18,-26.039888870911525,-26.039888870911525
19,-25.130936755682256,-25.130936755682256
20,-24.252244597552668,-24.252244597552668
21,-23.38509562525301,-23.38509562525301
22,-22.55049793491682,-22.55049793491682
23,-21.778769000629516,-21.778769000629516
24,-21.035964064094774,-21.035964064094774
25,-20.350783960206638,-20.350783960206638
26,-19.710365971387322,-19.710365971387322
27,-19.109545234633547,-19.109545234633547
28,-18.541470736985314,-18.541470736985314
29,-18.01004378782263,-18.01004378782263
30,-17.502734272332457,-17.502734272332457
31,-17.023335441749644,-17.023335441749644
32,-16.567593356903902,-16.567593356903902
33,-16.14140928918229,-16.14140928918229
34,-15.735630439307712,-15.735630439307712
35,-15.346804845833374,-15.346804845833374
36,-14.979394587945832,-14.979394587945832
37,-14.636243688427005,-14.636243688427005
38,-14.306547094493546,-14.306547094493546
39,-13.98889492974211,-13.98889492974211
40,-13.68670947425016,-13.68670947425016
41,-13.397812040274685,-13.397812040274685
42,-13.117489701401766,-13.117489701401766
43,-12.853241438297665,-12.853241438297665
44,-12.59682810605207,-12.59682810605207
45,-12.354492657384545,-12.354492657384545
46,-12.119352978509228,-12.119352978509228
47,-11.89197685168852,-11.89197685168852
48,-11.674608216414027,-11.674608216414027
49,-11.466679233088215,-11.466679233088215
50,-11.265105307862077,-11.265105307862077
51,-11.072047187139272,-11.072047187139272
52,-10.883652783920944,-10.883652783920944
53,-10.701981614238855,-10.701981614238855
54,-10.525942562548467,-10.525942562548467
55,-10.35780663192779,-10.35780663192779
56,-10.194877238922512,-10.194877238922512
57,-10.037073888096453,-10.037073888096453
58,-9.882729585771543,-9.882729585771543
59,-9.734027895330795,-9.734027895330795
60,-9.59037886222865,-9.59037886222865
61,-9.450563653997708,-9.450563653997708
62,-9.315768076886085,-9.315768076886085
63,-9.18434346199568,-9.18434346199568
64,-9.058451035629615,-9.058451035629615
65,-8.935468790333202,-8.935468790333202
66,-8.815324587168872,-8.815324587168872
67,-8.698052472263592,-8.698052472263592
68,-8.583855551877852,-8.583855551877852
69,-8.473748435525351,-8.473748435525351
70,-8.366689091903547,-8.366689091903547
71,-8.261869533310616,-8.261869533310616
72,-8.158757785975725,-8.158757785975725
73,-8.058222891018563,-8.058222891018563
74,-7.961093088254162,-7.961093088254162
75,-7.866616602613161,-7.866616602613161
76,-7.774462533938775,-7.774462533938775
77,-7.683997011785196,-7.683997011785196
78,-7.596912750355464,-7.596912750355464
79,-7.511537200989912,-7.511537200989912
80,-7.428105245028176,-7.428105245028176
81,-7.346569514646097,-7.346569514646097
82,-7.2673730450382825,-7.2673730450382825
83,-7.189929720656541,-7.189929720656541
84,-7.113780695286946,-7.113780695286946
85,-7.038919103911429,-7.038919103911429
86,-6.9653889606084745,-6.9653889606084745
87,-6.893548331042833,-6.893548331042833
88,-6.823758689882816,-6.823758689882816
89,-6.754820817681851,-6.754820817681851
90,-6.6873210535197485,-6.6873210535197485
91,-6.621275782828295,-6.621275782828295
92,-6.55653322794839,-6.55653322794839
93,-6.492959617842975,-6.492959617842975
94,-6.431270454737548,-6.431270454737548
95,-6.371013938441733,-6.371013938441733
96,-6.312405192223898,-6.312405192223898
97,-6.254408918572616,-6.254408918572616
98,-6.197096640882096,-6.197096640882096
99,-6.141247876449406,-6.141247876449406
100,-6.086355049807449,-6.086355049807449
101,-5.7789736314740106,-5.7789736314740106
102,-5.468393678545443,-5.468393678545443
103,-5.143135977585868,-5.143135977585868
104,-4.807876680816377,-4.807876680816377
105,-4.497118364111478,-4.497118364111478
106,-4.169343372224444,-4.169343372224444
107,-3.859160764627788,-3.859160764627788
108,-3.541396449700683,-3.541396449700683
109,-3.2333602604307394,-3.2333602604307394
110,-2.926990712790584,-2.926990712790584
111,-2.66469645165811,-2.66469645165811
112,-2.4130270989980973,-2.4130270989980973
113,-2.2045917877356858,-2.2045917877356858
114,-2.022775290610463,-2.022775290610463
115,-1.8679542920449068,-1.8679542920449068
116,-1.724555854170172,-1.724555854170172
117,-1.6086599324909998,-1.6086599324909998
118,-1.5055094761850947,-1.5055094761850947
119,-1.4234822836680747,-1.4234822836680747
120,-1.3535035600263108,-1.3535035600263108
121,-1.298925399077987,-1.298925399077987
122,-1.2542431927657574,-1.2542431927657574
123,-1.211660552554075,-1.211660552554075
124,-1.177645406057113,-1.177645406057113
125,-1.1440553522355754,-1.1440553522355754
126,-1.112457952155484,-1.112457952155484
127,-1.0829405964482606,-1.0829405964482606
128,-1.0561204298876217,-1.0561204298876217
129,-1.0300778731412326,-1.0300778731412326
130,-1.007514328102476,-1.007514328102476
131,-0.985861027003558,-0.985861027003558
132,-0.9661332665367778,-0.9661332665367778
133,-0.9464619410779149,-0.9464619410779149
134,-0.9281133155395181,-0.9281133155395181
135,-0.9123646140637818,-0.9123646140637818
136,-0.896179187919766,-0.896179187919766
137,-0.878126827937797,-0.878126827937797
138,-0.8620590729916118,-0.8620590729916118
139,-0.8476450802572824,-0.8476450802572824
140,-0.8329861818809438,-0.8329861818809438
141,-0.8190698450849289,-0.8190698450849289
142,-0.8075420321533074,-0.8075420321533074
143,-0.7946939071699126,-0.7946939071699126
144,-0.7832733910331675,-0.7832733910331675
145,-0.7711723666230133,-0.7711723666230133
146,-0.7602233721193932,-0.7602233721193932
147,-0.7506374803248127,-0.7506374803248127
148,-0.740433726651861,-0.740433726651861
149,-0.7301750385860366,-0.7301750385860366
150,-0.7209080411882843,-0.7209080411882843
151,-0.711413256175892,-0.711413256175892
152,-0.7033395889000538,-0.7033395889000538
153,-0.6950414358591784,-0.6950414358591784
154,-0.6876262558028786,-0.6876262558028786
155,-0.6797739183788647,-0.6797739183788647
156,-0.6716507197408527,-0.6716507197408527
157,-0.6639036005851806,-0.6639036005851806
158,-0.6571341173264541,-0.6571341173264541
159,-0.6501872539486194,-0.6501872539486194
160,-0.6432825392283987,-0.6432825392283987
161,-0.636704702446626,-0.636704702446626
162,-0.6300480882743394,-0.6300480882743394
163,-0.623643949650643,-0.623643949650643
164,-0.6168485097879468,-0.6168485097879468
165,-0.6102903644673383,-0.6102903644673383
166,-0.6045233357621487,-0.6045233357621487
167,-0.5988718246567941,-0.5988718246567941
168,-0.5935680849006472,-0.5935680849006472
169,-0.5879130546262589,-0.5879130546262589
170,-0.5822758706476189,-0.5822758706476189
171,-0.5768532444213141,-0.5768532444213141
172,-0.572585685265459,-0.572585685265459
173,-0.5685133656996786,-0.5685133656996786
174,-0.5639593699205969,-0.5639593699205969
175,-0.5589035666824773,-0.5589035666824773
176,-0.5540726476168325,-0.5540726476168325
177,-0.549943198182947,-0.549943198182947
178,-0.5447158143179326,-0.5447158143179326
179,-0.5400146053731226,-0.5400146053731226
180,-0.535681652443297,-0.535681652443297
181,-0.5312526942195585,-0.5312526942195585
182,-0.5267092289004335,-0.5267092289004335
183,-0.5222595894794765,-0.5222595894794765
184,-0.5183007931177772,-0.5183007931177772
185,-0.5145220363995585,-0.5145220363995585
186,-0.511169607357503,-0.511169607357503
187,-0.5077344697639669,-0.5077344697639669
188,-0.5038740871192231,-0.5038740871192231
189,-0.5003253863987079,-0.5003253863987079
190,-0.49719340516930755,-0.49719340516930755
191,-0.49365375006988704,-0.49365375006988704
192,-0.49110414356240006,-0.49110414356240006
193,-0.48849494231538515,-0.48849494231538515
194,-0.48503100508984187,-0.48503100508984187
195,-0.481393167306657,-0.481393167306657
196,-0.4776914272682331,-0.4776914272682331
197,-0.4745335540412971,-0.4745335540412971
198,-0.4715930436113651,-0.4715930436113651
199,-0.4686379908129017,-0.4686379908129017
200,-0.46578159772846417,-0.46578159772846417
201,-0.46329031121938713,-0.46329031121938713
202,-0.46048616859015157,-0.46048616859015157
203,-0.4576110917680265,-0.4576110917680265
204,-0.4550741006857802,-0.4550741006857802
205,-0.45222076584882176,-0.45222076584882176
206,-0.44957787693614504,-0.44957787693614504
207,-0.44648626186822105,-0.44648626186822105
208,-0.44425596544532764,-0.44425596544532764
209,-0.44173693767351,-0.44173693767351
210,-0.43922181161756746,-0.43922181161756746
211,-0.4371484195082872,-0.4371484195082872
212,-0.43478659790312935,-0.43478659790312935
213,-0.43198556904839386,-0.43198556904839386
214,-0.42957820234261007,-0.42957820234261007
215,-0.4270608935297566,-0.4270608935297566
216,-0.4252096895995243,-0.4252096895995243
217,-0.4227572692137151,-0.4227572692137151
218,-0.4209703389540913,-0.4209703389540913
219,-0.41837260109167523,-0.41837260109167523
220,-0.41589977104713305,-0.41589977104713305
221,-0.41335642955722063,-0.41335642955722063
222,-0.4112401056977595,-0.4112401056977595
223,-0.4090846879214481,-0.4090846879214481
224,-0.4068908263784546,-0.4068908263784546
225,-0.4050267084916429,-0.4050267084916429
226,-0.4026575233939378,-0.4026575233939378
227,-0.40061326942270703,-0.40061326942270703
228,-0.39838796427377127,-0.39838796427377127
229,-0.39638912708066437,-0.39638912708066437
230,-0.39435225618410513,-0.39435225618410513
231,-0.39255244323006266,-0.39255244323006266
232,-0.39071080873459957,-0.39071080873459957
233,-0.3887583180122525,-0.3887583180122525
234,-0.38693218387427875,-0.38693218387427875
235,-0.3845739297234546,-0.3845739297234546
236,-0.38284215145446615,-0.38284215145446615
237,-0.3810952427414254,-0.3810952427414254
238,-0.37922500933576414,-0.37922500933576414
239,-0.3776045579833871,-0.3776045579833871
240,-0.3761927543114724,-0.3761927543114724
241,-0.3750040711342967,-0.3750040711342967
242,-0.3731625326162421,-0.3731625326162421
243,-0.37174011114973965,-0.37174011114973965
244,-0.3707725320100508,-0.3707725320100508
245,-0.36914848708875797,-0.36914848708875797
246,-0.3678953239470743,-0.3678953239470743
247,-0.36614485554886556,-0.36614485554886556
248,-0.36482331446998467,-0.36482331446998467
249,-0.36323777396320756,-0.36323777396320756
250,-0.36163681706878154,-0.36163681706878154
251,-0.3599652079128408,-0.3599652079128408
252,-0.35851727455938837,-0.35851727455938837
253,-0.3573065413234204,-0.3573065413234204
254,-0.35561666875417847,-0.35561666875417847
255,-0.35378000706801993,-0.35378000706801993
256,-0.3523531863348896,-0.3523531863348896
257,-0.35100829911038006,-0.35100829911038006
258,-0.3499570374578715,-0.3499570374578715
259,-0.3486086544793453,-0.3486086544793453
260,-0.34716586840786284,-0.34716586840786284
261,-0.3462171410998006,-0.3462171410998006
262,-0.34494447261675343,-0.34494447261675343
263,-0.3438859659550556,-0.3438859659550556
264,-0.3421313939778608,-0.3421313939778608
265,-0.3411073316401421,-0.3411073316401421
266,-0.33979910402492114,-0.33979910402492114
267,-0.3387228306439045,-0.3387228306439045
268,-0.337430823624683,-0.337430823624683
