episode,average_score,best_score
1,-200.0,-200.0
2,-200.0,-200.0
3,-199.98533739829517,-199.98533739829517
4,-198.08985400120247,-198.08985400120247
5,-198.31977932008948,-198.08985400120247
6,-198.35908316466248,-198.08985400120247
7,-197.5181312647075,-197.5181312647075
8,-197.37131197747772,-197.37131197747772
9,-197.66338842442462,-197.37131197747772
10,-197.87113186033835,-197.37131197747772
11,-198.06466532758031,-197.37131197747772
12,-198.22594321694862,-197.37131197747772
13,-198.3624091233372,-197.37131197747772
14,-198.47937990024167,-197.37131197747772
15,-198.5807545735589,-197.37131197747772
16,-198.6615004747344,-197.37131197747772
17,-198.7402357409265,-197.37131197747772
18,-198.81022264420835,-197.37131197747772
19,-198.8728425050395,-197.37131197747772
20,-198.92920037978752,-197.37131197747772
21,-198.98019083789288,-197.37131197747772
22,-197.4108157034472,-197.37131197747772
23,-196.19932246818192,-196.19932246818192
24,-196.35768403200768,-196.19932246818192
25,-196.50337667072736,-196.19932246818192
26,-196.63786218339172,-196.19932246818192
27,-196.76238580622905,-196.19932246818192
28,-196.87801488457802,-196.19932246818192
29,-196.9856695437305,-196.19932246818192
30,-195.2515849274859,-195.2515849274859
31,-195.40475960724442,-195.2515849274859
32,-194.8010258568664,-194.8010258568664
33,-194.95857052787045,-194.8010258568664
34,-194.10478369145548,-194.10478369145548
35,-193.81509703910913,-193.81509703910913
36,-192.87130724182245,-192.87130724182245
37,-191.77565308777096,-191.77565308777096
38,-191.99208326967172,-191.77565308777096
39,-192.19741446788527,-191.77565308777096
40,-191.64872777272146,-191.64872777272146
41,-191.85241733924045,-191.64872777272146
42,-191.38213828055729,-191.38213828055729
43,-191.58255366938153,-191.38213828055729
44,-191.77385926780468,-191.38213828055729
45,-191.87331644504508,-191.38213828055729
46,-191.84049037006588,-191.38213828055729
47,-191.40331339370596,-191.38213828055729
48,-191.5824110313371,-191.38213828055729
49,-191.2769164303073,-191.2769164303073
50,-190.73759195810646,-190.73759195810646
51,-190.20575575755635,-190.20575575755635
52,-190.39410660837257,-190.20575575755635
53,-190.57534987991272,-190.20575575755635
54,-190.7498804376921,-190.20575575755635
55,-190.6830334049812,-190.20575575755635
56,-190.84940780846364,-190.20575575755635
57,-190.7560415424591,-190.20575575755635
58,-190.91542013655462,-190.20575575755635
59,-190.7727155015503,-190.20575575755635
60,-190.92650357652445,-190.20575575755635
61,-191.02693782253365,-190.20575575755635
62,-191.1407736176336,-190.20575575755635
63,-191.28139625862357,-190.20575575755635
64,-191.31331207161412,-190.20575575755635
65,-191.44695342435853,-190.20575575755635
66,-191.2595300118616,-190.20575575755635
67,-191.0361145844282,-190.20575575755635
68,-190.41008936202738,-190.20575575755635
69,-190.54907357417193,-190.20575575755635
70,-190.14622548148557,-190.14622548148557
71,-189.70449832259058,-189.70449832259058
72,-189.41707419973903,-189.41707419973903
73,-189.562045786044,-189.41707419973903
74,-189.70309922136772,-189.41707419973903
75,-189.56022784657566,-189.41707419973903
76,-189.69759326964703,-189.41707419973903
77,-189.8313907596516,-189.41707419973903
78,-189.328990572423,-189.328990572423
79,-189.46406664112652,-189.328990572423
80,-189.14747273404822,-189.14747273404822
81,-189.03255428465368,-189.03255428465368
82,-189.1663036226457,-189.03255428465368
83,-188.75666319943699,-188.75666319943699
84,-188.89051244706275,-188.75666319943699
85,-189.0212123006267,-188.75666319943699
86,-188.78530419231942,-188.75666319943699
87,-188.76775247805023,-188.75666319943699
88,-188.895391654436,-188.75666319943699
89,-189.02016253472323,-188.75666319943699
90,-189.14216072878185,-188.75666319943699
91,-189.26147764385018,-188.75666319943699
92,-189.37820071293876,-188.75666319943699
93,-189.18140129808882,-188.75666319943699
94,-189.29649277364106,-188.75666319943699
95,-189.40916127076065,-188.75666319943699
96,-189.51948250752352,-188.75666319943699
97,-189.28996851649256,-188.75666319943699
98,-189.05091978842287,-188.75666319943699
99,-189.13959128242982,-188.75666319943699
100,-188.67435386789322,-188.67435386789322
101,-188.67435386789327,-188.67435386789322
102,-188.6260472637392,-188.6260472637392
103,-188.6264871417904,-188.6260472637392
104,-188.69642313762867,-188.6260472637392
105,-188.47537970792638,-188.47537970792638
106,-188.48982368405112,-188.47537970792638
107,-188.56509948540133,-188.47537970792638
108,-188.1647230953326,-188.1647230953326
109,-188.1647230953326,-188.1647230953326
110,-188.16731486749697,-188.1647230953326
111,-188.16731486749697,-188.1647230953326
112,-188.16731486749697,-188.1647230953326
113,-187.87832652004917,-187.87832652004917
114,-187.59782560310938,-187.59782560310938
115,-187.59782560310938,-187.59782560310938
116,-187.59909871318575,-187.59782560310938
117,-187.55851331436835,-187.55851331436835
118,-187.4128162630202,-187.4128162630202
119,-187.38657637926426,-187.38657637926426
120,-187.38657637926428,-187.38657637926426
121,-187.38657637926426,-187.38657637926426
122,-187.44588161059608,-187.38657637926426
123,-187.74397762582717,-187.38657637926426
124,-187.74397762582717,-187.38657637926426
125,-187.74397762582717,-187.38657637926426
126,-187.74397762582717,-187.38657637926426
127,-187.74397762582717,-187.38657637926426
128,-187.5176884859651,-187.38657637926426
129,-187.3912483341214,-187.38657637926426
130,-187.94161702355746,-187.38657637926426
131,-187.94161702355746,-187.38657637926426
132,-187.95679843499155,-187.38657637926426
133,-187.48914419065972,-187.38657637926426
134,-187.49891573069834,-187.38657637926426
135,-187.65925822210502,-187.38657637926426
136,-187.84053080291,-187.38657637926426
137,-187.86778567652226,-187.38657637926426
138,-187.86778567652226,-187.38657637926426
139,-187.86778567652226,-187.38657637926426
140,-188.1652862099089,-187.38657637926426
141,-188.01302014576424,-187.38657637926426
142,-187.97790138139058,-187.38657637926426
