episode,average_score,best_score
1,-99.558805149866,-99.558805149866
2,-98.89414707607969,-98.89414707607969
3,-99.00589430354502,-98.89414707607969
4,-99.073526876996,-98.89414707607969
5,-99.1157985244949,-98.89414707607969
6,-99.23007921809382,-98.89414707607969
7,-99.1949126421098,-98.89414707607969
8,-99.23386338210443,-98.89414707607969
9,-99.21878842379881,-98.89414707607969
10,-99.14057297225656,-98.89414707607969
11,-99.18794965254682,-98.89414707607969
12,-99.2434691839706,-98.89414707607969
13,-99.21922732649001,-98.89414707607969
14,-99.22721715593313,-98.89414707607969
15,-99.2360839830414,-98.89414707607969
16,-99.27745460624303,-98.89414707607969
17,-99.28542288255689,-98.89414707607969
18,-99.20858415205429,-98.89414707607969
19,-99.2422939319199,-98.89414707607969
20,-99.23411730685393,-98.89414707607969
21,-99.2632111676914,-98.89414707607969
22,-99.2649400668613,-98.89414707607969
23,-99.26265852954613,-98.89414707607969
24,-99.26129375603325,-98.89414707607969
25,-99.28363476079285,-98.89414707607969
26,-99.3068569154524,-98.89414707607969
27,-99.3035432893249,-98.89414707607969
28,-99.31765973070446,-98.89414707607969
29,-99.32886317818189,-98.89414707607969
30,-99.34617583078834,-98.89414707607969
31,-99.346402346001,-98.89414707607969
32,-99.34593489819079,-98.89414707607969
33,-99.35497027396332,-98.89414707607969
34,-99.35825921455859,-98.89414707607969
35,-99.36144224811603,-98.89414707607969
36,-99.35457334429225,-98.89414707607969
37,-99.35894112225499,-98.89414707607969
38,-99.36094149321978,-98.89414707607969
39,-99.3735476941368,-98.89414707607969
40,-99.3768082032597,-98.89414707607969
41,-99.3737260703442,-98.89414707607969
42,-99.35954567471451,-98.89414707607969
43,-99.34595091744919,-98.89414707607969
44,-99.3417880244163,-98.89414707607969
45,-99.34258655665222,-98.89414707607969
46,-99.34750176327229,-98.89414707607969
47,-99.34463595016315,-98.89414707607969
48,-99.3394107384997,-98.89414707607969
49,-99.3370061185456,-98.89414707607969
50,-99.3279783137457,-98.89414707607969
51,-99.30249346493837,-98.89414707607969
52,-99.31271611377875,-98.89414707607969
53,-99.31404996796019,-98.89414707607969
54,-99.31637636820996,-98.89414707607969
55,-99.28544510461772,-98.89414707607969
56,-99.29002384383338,-98.89414707607969
57,-99.28529306833698,-98.89414707607969
58,-99.28281975519275,-98.89414707607969
59,-99.28703346731949,-98.89414707607969
60,-99.2785877667542,-98.89414707607969
61,-99.27446565105038,-98.89414707607969
62,-99.27541939248142,-98.89414707607969
63,-99.2804046632972,-98.89414707607969
64,-99.28617229347414,-98.89414707607969
65,-99.28781350340682,-98.89414707607969
66,-99.27186627174974,-98.89414707607969
67,-99.27597374639338,-98.89414707607969
68,-99.2773086079364,-98.89414707607969
69,-99.28688657251358,-98.89414707607969
70,-99.28130824406065,-98.89414707607969
71,-99.2863247262542,-98.89414707607969
72,-99.28986299617802,-98.89414707607969
73,-99.29524024302773,-98.89414707607969
74,-99.29913166485449,-98.89414707607969
75,-99.30728588553447,-98.89414707607969
