episode,average_score,best_score
1,-37.55886967141538,-37.55886967141538
2,-36.04729088245043,-36.04729088245043
3,-36.626264861734924,-36.04729088245043
4,-35.63795890046723,-35.63795890046723
5,-34.8458724834467,-34.8458724834467
6,-35.56971665566072,-34.8458724834467
7,-35.515982962966234,-34.8458724834467
8,-35.865520148585944,-34.8458724834467
9,-35.69465957011269,-34.8458724834467
10,-35.653895621593556,-34.8458724834467
11,-35.342246309521734,-34.8458724834467
12,-35.33139322219705,-34.8458724834467
13,-35.31699281902479,-34.8458724834467
14,-35.60460909708017,-34.8458724834467
15,-35.711732676835204,-34.8458724834467
16,-35.98234994065631,-34.8458724834467
17,-36.111942374964805,-34.8458724834467
18,-36.03835865621565,-34.8458724834467
19,-36.233699519072744,-34.8458724834467
20,-36.3178618978683,-34.8458724834467
21,-36.38418907993463,-34.8458724834467
22,-36.342488211514656,-34.8458724834467
23,-36.36146800999409,-34.8458724834467
24,-36.326879531767744,-34.8458724834467
25,-36.408080381031766,-34.8458724834467
26,-36.37713770034508,-34.8458724834467
27,-36.47891271665839,-34.8458724834467
28,-36.694074444647796,-34.8458724834467
29,-36.79745255201091,-34.8458724834467
30,-36.85806944048594,-34.8458724834467
31,-36.9054519197762,-34.8458724834467
32,-36.83872147866916,-34.8458724834467
33,-36.9845993962794,-34.8458724834467
34,-37.01881957976735,-34.8458724834467
35,-36.96820888730594,-34.8458724834467
36,-36.97786593839254,-34.8458724834467
37,-37.019850224534245,-34.8458724834467
38,-37.02342666237424,-34.8458724834467
39,-37.10968068908792,-34.8458724834467
40,-37.053520728367154,-34.8458724834467
41,-37.173390677040935,-34.8458724834467
42,-37.127071731837056,-34.8458724834467
43,-37.05001616258703,-34.8458724834467
44,-37.01019838978653,-34.8458724834467
45,-36.930679542251276,-34.8458724834467
46,-36.92677013805096,-34.8458724834467
47,-36.84891095739362,-34.8458724834467
48,-36.84590095429785,-34.8458724834467
49,-36.850790762834414,-34.8458724834467
50,-36.78439444943564,-34.8458724834467
51,-36.751230277771576,-34.8458724834467
52,-36.744611468083924,-34.8458724834467
53,-36.61803788946866,-34.8458724834467
54,-36.56851240312949,-34.8458724834467
55,-36.536928282499986,-34.8458724834467
56,-36.4952719635844,-34.8458724834467
57,-36.40528495081725,-34.8458724834467
58,-36.444405681840685,-34.8458724834467
59,-36.3783885815372,-34.8458724834467
60,-36.33597057700584,-34.8458724834467
61,-36.37286287585989,-34.8458724834467
62,-36.35462566494999,-34.8458724834467
63,-36.248850994843274,-34.8458724834467
64,-36.24038635223525,-34.8458724834467
65,-36.250405722095884,-34.8458724834467
66,-36.267650020443874,-34.8458724834467
67,-36.3101869643571,-34.8458724834467
68,-36.29796814854621,-34.8458724834467
69,-36.25899486451376,-34.8458724834467
70,-36.274540106439105,-34.8458724834467
71,-36.2837723203452,-34.8458724834467
72,-36.28907272267776,-34.8458724834467
73,-36.22867820433973,-34.8458724834467
74,-36.211554331104125,-34.8458724834467
75,-36.15140510518436,-34.8458724834467
76,-36.11277469995699,-34.8458724834467
77,-36.07317418423978,-34.8458724834467
78,-36.074667188952596,-34.8458724834467
79,-36.060469190916855,-34.8458724834467
80,-36.012691870936244,-34.8458724834467
81,-36.00358367159407,-34.8458724834467
82,-36.01153875880968,-34.8458724834467
83,-36.00440321683859,-34.8458724834467
84,-35.93867337583279,-34.8458724834467
85,-35.90865939702197,-34.8458724834467
86,-35.84131413448481,-34.8458724834467
87,-35.80629726576164,-34.8458724834467
88,-35.82686301622832,-34.8458724834467
89,-35.76679159818402,-34.8458724834467
90,-35.723377689420666,-34.8458724834467
91,-35.704515636482206,-34.8458724834467
92,-35.70818758707183,-34.8458724834467
93,-35.720082780168916,-34.8458724834467
94,-35.72326402093408,-34.8458724834467
95,-35.73807314521929,-34.8458724834467
96,-35.77817257073681,-34.8458724834467
97,-35.7677083313533,-34.8458724834467
98,-35.7697050662826,-34.8458724834467
99,-35.78414430446439,-34.8458724834467
100,-35.79353261300256,-34.8458724834467
101,-35.75975947217857,-34.8458724834467
102,-35.782277131843,-34.8458724834467
103,-35.74353832171292,-34.8458724834467
104,-35.762227273704276,-34.8458724834467
105,-35.80084997911655,-34.8458724834467
106,-35.7711807827329,-34.8458724834467
107,-35.79207531697804,-34.8458724834467
108,-35.77033278450424,-34.8458724834467
109,-35.7175874356641,-34.8458724834467
110,-35.708743996858644,-34.8458724834467
111,-35.73057085357676,-34.8458724834467
112,-35.71539874413729,-34.8458724834467
113,-35.708905627407795,-34.8458724834467
114,-35.69678398349291,-34.8458724834467
115,-35.71529549206369,-34.8458724834467
116,-35.64330623058911,-34.8458724834467
117,-35.64832070435964,-34.8458724834467
118,-35.665225026381975,-34.8458724834467
119,-35.636824505990404,-34.8458724834467
120,-35.64333308094452,-34.8458724834467
121,-35.593643943776016,-34.8458724834467
122,-35.57377705061933,-34.8458724834467
123,-35.56247173331796,-34.8458724834467
124,-35.579665714871325,-34.8458724834467
125,-35.565487911236175,-34.8458724834467
126,-35.55106848328892,-34.8458724834467
127,-35.52893533873289,-34.8458724834467
128,-35.48620600652282,-34.8458724834467
129,-35.47173891590547,-34.8458724834467
130,-35.44100612740636,-34.8458724834467
131,-35.43211748598556,-34.8458724834467
132,-35.468337702587974,-34.8458724834467
133,-35.43826336552508,-34.8458724834467
134,-35.39034660653027,-34.8458724834467
135,-35.41169785132449,-34.8458724834467
136,-35.37710510841562,-34.8458724834467
137,-35.35806666611933,-34.8458724834467
138,-35.33826006244618,-34.8458724834467
139,-35.29274603163211,-34.8458724834467
140,-35.291172386761474,-34.8458724834467
141,-35.226480962289294,-34.8458724834467
142,-35.24465705735095,-34.8458724834467
143,-35.23822845631809,-34.8458724834467
144,-35.23015026306091,-34.8458724834467
145,-35.229399783392424,-34.8458724834467
146,-35.23610639230718,-34.8458724834467
147,-35.26704815378102,-34.8458724834467
148,-35.23111898293586,-34.8458724834467
149,-35.1649121427042,-34.8458724834467
150,-35.16100488481956,-34.8458724834467
151,-35.156290592053125,-34.8458724834467
152,-35.15730715891026,-34.8458724834467
153,-35.221374053789674,-34.8458724834467
154,-35.235870443845485,-34.8458724834467
155,-35.22232310193139,-34.8458724834467
156,-35.231024386357696,-34.8458724834467
157,-35.28796246196282,-34.8458724834467
158,-35.20627760617137,-34.8458724834467
159,-35.19649336551534,-34.8458724834467
160,-35.20683775263424,-34.8458724834467
161,-35.15757801661819,-34.8458724834467
162,-35.157152236668956,-34.8458724834467
163,-35.23271226247005,-34.8458724834467
164,-35.221603047895414,-34.8458724834467
165,-35.188543384669416,-34.8458724834467
166,-35.18549919012983,-34.8458724834467
167,-35.16501937206636,-34.8458724834467
